2026-02-24 16:02:18,752 | INFO | src.loader | Attempting to load file (Attempt 1)
2026-02-24 16:02:18,788 | WARNING | src.loader | Normalized CSV column names by trimming whitespace.
2026-02-24 16:02:18,788 | INFO | src.loader | Successfully loaded file: C:\Users\MelchizedekTettehNar\OneDrive - AmaliTech gGmbH\Desktop\PII_Detection_Pipeline\data\customers_raw.csv (10 rows, 10 columns)
2026-02-24 16:02:18,788 | INFO | src.pipeline | Stage 1: LOAD completed successfully
2026-02-24 16:02:18,789 | INFO | src.profiler | Stage 2: Profiling started
2026-02-24 16:02:18,810 | CRITICAL | __main__ | Pipeline failed: '<' not supported between instances of 'str' and 'int'
2026-02-24 16:05:37,940 | INFO | src.pipeline | Stage 1: LOAD started
2026-02-24 16:05:37,941 | WARNING | src.loader | signal.SIGALRM is unavailable on this platform; load timeout is disabled.
2026-02-24 16:05:37,942 | INFO | src.loader | Attempting to load file (Attempt 1)
2026-02-24 16:05:37,948 | WARNING | src.loader | Normalized CSV column names by trimming whitespace.
2026-02-24 16:05:37,949 | INFO | src.loader | Successfully loaded file: C:\Users\MelchizedekTettehNar\OneDrive - AmaliTech gGmbH\Desktop\PII_Detection_Pipeline\data\customers_raw.csv (10 rows, 10 columns)
2026-02-24 16:05:37,949 | INFO | src.pipeline | Stage 1: LOAD completed successfully
2026-02-24 16:05:37,950 | INFO | src.profiler | Stage 2: Profiling started
2026-02-24 16:05:37,970 | INFO | src.profiler | Stage 2: Profiling completed successfully
2026-02-24 16:08:17,693 | INFO | src.pipeline | Stage 1: LOAD started
2026-02-24 16:08:17,694 | WARNING | src.loader | signal.SIGALRM is unavailable on this platform; load timeout is disabled.
2026-02-24 16:08:17,695 | INFO | src.loader | Attempting to load file (Attempt 1)
2026-02-24 16:08:17,700 | WARNING | src.loader | Normalized CSV column names by trimming whitespace.
2026-02-24 16:08:17,701 | INFO | src.loader | Successfully loaded file: C:\Users\MelchizedekTettehNar\OneDrive - AmaliTech gGmbH\Desktop\PII_Detection_Pipeline\data\customers_raw.csv (10 rows, 10 columns)
2026-02-24 16:08:17,701 | INFO | src.pipeline | Stage 1: LOAD completed successfully
2026-02-24 16:08:17,702 | INFO | src.profiler | Stage 2: Profiling started
2026-02-24 16:08:17,737 | INFO | src.profiler | Stage 2: Profiling completed successfully
2026-02-24 16:20:42,595 | INFO | src.pipeline | Stage 1: LOAD started
2026-02-24 16:20:42,596 | WARNING | src.loader | signal.SIGALRM is unavailable on this platform; load timeout is disabled.
2026-02-24 16:20:42,596 | INFO | src.loader | Attempting to load file (Attempt 1)
2026-02-24 16:20:42,627 | WARNING | src.loader | Normalized CSV column names by trimming whitespace.
2026-02-24 16:20:42,628 | INFO | src.loader | Successfully loaded file: C:\Users\MelchizedekTettehNar\OneDrive - AmaliTech gGmbH\Desktop\PII_Detection_Pipeline\data\customers_raw.csv (10 rows, 10 columns)
2026-02-24 16:20:42,628 | INFO | src.pipeline | Stage 1: LOAD completed successfully
2026-02-24 16:20:42,629 | INFO | src.profiler | Stage 2: Profiling started
2026-02-24 16:20:42,667 | INFO | src.profiler | Stage 2: Profiling completed successfully
2026-02-24 16:20:42,669 | INFO | src.validator | Stage 3: Validation started
2026-02-24 16:20:42,679 | INFO | src.validator | Stage 3: Validation completed
2026-02-24 16:20:42,682 | INFO | src.validator | Validation report generated
